OBJECTID_1,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID,AREA_SQM,FEAT_LEN,Shape__Area,Shape__Length,OBJECTID_1 1,SHAPE_1 1,Shape__Area 1,Shape__Length 1,Year,Month,Near AveTemp,Near MaxTemp,Near MinTemp,NearDist Temp,Near totalPrecip,Near HighPrecipDays,NearDist Precip,Interpolate Temp aveMax,Interpolate Temp aveMin,Interpolate Precip aveMax,Interpolate Precip aveMin,Interpolate AveTemp,Interpolate AvePrecip
134,G50904,2017072301.00000000,2017,Person,2017-G50904,6.50000000,20170723,20170919,20170708,Non-corrected ground GPS,JA70003000,0.00000000,1373945.00000000,65250.79110000,1149.93810000,199619.21093750,2011.55643089,21251,0,199619.21090000,2011.55643100,2017,July,14.90000000,26.50000000,4.50000000,90.16581810,4.80000000,3,90.16581810,14.96469454,13.23475030,44.20290253,23.64313695,14.09972242,33.92301974
135,N71191,2017071902.00000000,2017,Lightning,2017-N71191,2.50000000,20170719,20171121,20170719,Non-corrected ground GPS,JA70003000,0.00000000,1373780.00000000,25963.07460000,1315.09010000,60856.07812500,2013.46845638,21297,0,60856.07813000,2013.46845600,2017,July,23.30000000,36.50000000,11.00000000,22.78566506,2.20000000,1,22.78566506,22.56524970,20.83530546,1.82165184,0.83569666,21.70027758,1.32867425
136,G10847,2017091201.00000000,2017,Lightning,2017-G10847,8.90000000,20170912,20170913,20170708,Non-corrected ground GPS,JA70003000,0.00000000,1373970.00000000,89059.23320000,1194.35410000,254647.67187500,2019.44195133,21061,0,254647.67190000,2019.44195100,2017,July,17.50000000,33.50000000,6.50000000,20.85739082,30.80000000,10,20.85739082,17.19626831,16.24650489,44.20290253,23.64313695,16.7213866,33.92301974
137,K70001,2017040201.00000000,2017,Person,2017-K70001,5.70000000,20170402,20171006,20170401,Non-corrected ground GPS,JA70003000,0.00000000,1373855.00000000,57148.43980000,1295.77060000,139859.35937500,2027.42984502,21159,0,139859.35940000,2027.42984500,2017,April,3.20000000,15.50000000,-9.10000000,68.22073447,33.30000000,6,68.22073447,9.53203200,8.88407774,41.85227950,33.41752529,9.20805487,37.634902395
138,G10829,2017092201.00000000,2017,Lightning,2017-G10829,6.40000000,20170922,20170925,20170708,Non-corrected ground GPS,JA70003000,0.00000000,1373971.00000000,64046.73330000,1216.51190000,180024.14843750,2039.90179561,21078,0,180024.14840000,2039.90179600,2017,July,16.40000000,30.00000000,2.00000000,65.17578506,26.80000000,7,65.17578506,16.24650489,14.96469454,23.64313695,12.57891354,15.60559971,18.111025245
139,K50588,2017070601.00000000,2017,Person,2017-K50588,8.00000000,20170706,20171010,20170704,Hand sketch of any type,JA70003000,0.00000000,1373873.00000000,80869.83070000,1328.46290000,190591.41406250,2041.07876673,21241,0,190591.41410000,2041.07876700,2017,July,22.60000000,36.50000000,8.50000000,9.25974011,0.00000000,0,9.25974011,24.90000000,22.56524970,0.26874327,0.00000000,23.73262485,0.134371635
140,N50419,2017062701.00000000,2017,Lightning,2017-N50419,5.50000000,20170627,20170831,20170626,Non-corrected ground GPS,JA70003000,0.00000000,1373805.00000000,55386.07680000,1335.55360000,133969.76562500,2077.44324342,21336,0,133969.76560000,2077.44324300,2017,June,16.90000000,33.50000000,6.50000000,2.87673387,55.00000000,9,2.87673387,17.70656452,16.26910919,48.95336276,35.43425686,16.98783685,42.19380981
141,K31239,2017091401.00000000,2017,Lightning,2017-K31239,8.90000000,20170914,20170914,20170720,Hand sketch of any type,JA70003000,0.00000000,1373883.00000000,89986.77750000,1314.13490000,226779.33593750,2086.34465741,21289,0,226779.33590000,2086.34465700,2017,July,21.00000000,35.20000000,6.90000000,33.45322265,0.80000000,0,33.45322265,20.83530546,19.55349511,6.62470948,3.42045875,20.19440028,5.022584115
142,N11189,2017092601.00000000,2017,Lightning,2017-N11189,10.30000000,20170926,20171123,20170715,Hand sketch of any type,JA70003000,0.00000000,1373847.00000000,103816.59330000,1367.80990000,244157.14843750,2096.85445152,21126,0,244157.14840000,2096.85445200,2017,July,19.60000000,36.50000000,4.00000000,36.82906338,4.80000000,2,36.82906338,20.83530546,19.55349511,6.62470948,3.42045875,20.19440028,5.022584115
143,G50834,2017071302.00000000,2017,Lightning,2017-G50834,11.00000000,20170713,20170713,20170708,Non-corrected ground GPS,JA70003000,0.00000000,1373947.00000000,110026.67540000,1239.12800000,337360.47656250,2168.87158240,21253,0,337360.47660000,2168.87158200,2017,July,12.40000000,28.00000000,1.50000000,72.48683740,75.00000000,14,72.48683740,14.96469454,13.23475030,82.40747825,44.20290253,14.09972242,63.30519039
